"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0000070","mitotic sister chromatid segregation",151,0.668033866866962,2.5026067814116,1e-10,1e-10,3.12697368421053e-08,1557,"tags=33%, list=10%, signal=30%","20877/71819/12235/12704/72107/70218/67849/54392/12236/68612/208628/66977/54141/52276/18005/268697/110033/14841/26934/18817/105988/67052/68549/73804/215387/108907/107995/70385/67177/67141/233406/11799/60411/23834/381318/69716/22137/21335/68014/56742/66934/381293/76044/72415/16580/229841/56150/14211/16319/51944"
"GO:0000819","sister chromatid segregation",176,0.652267075228418,2.48352665096292,1e-10,1e-10,3.12697368421053e-08,1557,"tags=32%, list=10%, signal=29%","20877/71819/12235/12704/223970/72107/70218/67849/71988/54392/12236/68612/208628/66977/54141/52276/18005/268697/110033/14841/26934/12006/18817/105988/67052/68549/73804/215387/108907/107995/70385/67177/67141/233406/11799/60411/23834/381318/69716/22137/21335/21973/68014/56742/66934/332110/381293/76044/72415/16580/229841/56150/14211/16319/79456/51944"
"GO:0051983","regulation of chromosome segregation",85,0.710987587429948,2.45068013957131,1e-10,1e-10,3.12697368421053e-08,1359,"tags=35%, list=9%, signal=32%","20877/12235/12704/223970/54392/12236/68612/208628/268697/214901/18817/67052/73804/108912/215387/70385/67177/67141/11799/23834/69716/22137/21335/68014/332110/76044/17345/229841/56150/14211"
"GO:0007059","chromosome segregation",298,0.602687495445819,2.41908839847995,1e-10,1e-10,3.12697368421053e-08,2175,"tags=32%, list=14%, signal=28%","66468/20877/71819/12235/12704/223970/406217/26886/72107/70218/12189/67849/71988/54392/67629/12236/68612/108000/208628/66977/54141/52276/18005/268697/110033/70645/14841/218977/26934/12006/214901/18817/105988/67052/68549/237911/73804/108912/76464/215387/108907/75033/107995/70385/67177/13605/67141/233406/11799/60411/23834/381318/69716/69928/22137/239083/21335/12877/21973/68014/56742/66934/268465/332110/219114/381293/72155/76044/72415/211651/16580/17345/229841/56150/14211/16319/79456/83558/12448/51944/69912/71878/19428/59014/12447/67037/72787/66442/51791/100088/66371/104806/320209/320394/66578/71846"
"GO:0098813","nuclear chromosome segregation",238,0.609845958021683,2.39679799522756,1e-10,1e-10,3.12697368421053e-08,2074,"tags=33%, list=13%, signal=29%","20877/71819/12235/12704/223970/72107/70218/67849/71988/54392/67629/12236/68612/108000/208628/66977/54141/52276/18005/268697/110033/14841/26934/12006/18817/105988/67052/68549/237911/73804/76464/215387/108907/75033/107995/70385/67177/13605/67141/233406/11799/60411/23834/381318/69716/69928/22137/239083/21335/12877/21973/68014/56742/66934/268465/332110/381293/76044/72415/211651/16580/229841/56150/14211/16319/79456/83558/12448/51944/71878/19428/59014/12447/72787/66442/66371/104806/320209"
"GO:0006364","rRNA processing",213,0.594277115951054,2.306647819326,1e-10,1e-10,3.12697368421053e-08,4410,"tags=64%, list=28%, signal=46%","271842/59028/235036/52530/104662/72515/68147/105372/67223/67973/110816/217995/56095/102614/14113/27966/72544/72462/24014/20937/67920/72344/74035/215193/30946/107094/110109/67619/100019/69962/67949/59014/69902/20085/230082/53414/208144/98956/72171/107071/57315/207932/67832/17975/56200/17089/20055/69663/67842/20826/57750/228889/66942/224481/245474/66409/234344/20088/213541/66481/227715/100043813/75617/68979/67222/67115/72614/216156/217109/20115/69237/13871/52705/27993/21771/18148/100503670/20054/20116/57808/66489/54127/320790/18572/75273/52513/70683/64934/72181/269470/57294/70930/67025/14791/72662/73674/213773/67936/66362/69499/217038/66583/225348/19941/20044/60321/18150/195434/71340/20068/66580/67276/72554/18813/103136/68327/74778/70285/74097/16418/234374/69072/217431/75416/71990/66138/215194/20104/27176/19942/100609/20227/66254/67045/65961/19989"
"GO:0051304","chromosome separation",91,0.661667251701406,2.306268276369,1e-10,1e-10,3.12697368421053e-08,1549,"tags=33%, list=10%, signal=30%","20877/12235/12704/54392/12236/68612/208628/268697/18817/105988/67052/215387/70385/67177/67141/11799/23834/69716/69928/22137/21335/21973/68014/268465/332110/76044/229841/56150/14211/83558"
"GO:0042254","ribosome biogenesis",294,0.563585451285669,2.26286900654138,1e-10,1e-10,3.12697368421053e-08,4022,"tags=55%, list=26%, signal=42%","271842/59028/235036/52530/217011/104662/72515/68147/105372/67223/67973/110816/217995/66614/16785/56095/67134/102614/14113/27966/72544/72462/57741/12261/24014/20937/224092/67920/72344/74035/227674/18432/215193/30946/382038/107094/110109/67619/100019/66164/69962/67949/19428/59014/69902/20085/230082/53414/208144/28126/98956/20103/72171/107071/57315/207932/67832/71952/17975/56200/17089/20055/69663/67842/20826/57750/231452/228889/11837/66942/224481/245474/66409/225215/234344/20088/213541/66481/227715/100043813/75617/68979/67222/67115/72614/216156/217109/20115/19384/69237/13871/52705/27993/21771/18148/230737/100503670/20054/20116/57808/66489/75751/54127/320790/18572/67671/268449/75273/52513/70683/64934/72181/269470/57294/70930/67025/14791/72662/73674/213773/67936/66362/69499/217038/66583/19988/234549/225348/19941/229504/100608/20044/353258/60321/18150/195434/71340/20068/66580/67276/72554/18813/103136/56321/68327/74778/70285/27367/74097/16418/118451/234374/69072/217431/75416/71990/50529/66138/52521/215194/16898/20104"
"GO:0016072","rRNA metabolic process",242,0.567313011719944,2.23228907421326,1e-10,1e-10,3.12697368421053e-08,4410,"tags=60%, list=28%, signal=44%","271842/59028/20017/276950/235036/52530/104662/72515/68147/105372/67223/67973/110816/217995/56095/102614/14113/27966/72544/72462/24014/20937/67920/72344/20019/74035/64424/215193/70333/30946/107094/110109/67619/100019/69962/67949/59014/69902/20085/230082/53414/208144/98956/72171/107071/57315/207932/67832/17975/56200/237886/17089/20055/69663/67842/20826/57750/228889/66942/224481/245474/66409/234344/20088/213541/66481/227715/100043813/75617/68979/21453/67222/67115/72614/216156/217109/20115/69237/13871/52705/27993/21771/18148/100503670/20054/20116/57808/66489/54127/320790/18572/21969/75273/52513/70683/64934/72181/269470/57294/70930/67025/14791/72662/73674/213773/67936/66362/69499/217038/66583/225348/19941/20044/60321/18150/195434/71340/20068/66580/22059/67276/72554/18813/103136/68327/74778/70285/74097/16418/234374/69072/217431/75416/71990/66138/215194/20104/27176/219033/19942/100609/20227/66254/67045/65961/19989"
"GO:0006261","DNA-templated DNA replication",140,0.593831283929046,2.20305887900275,1e-10,1e-10,3.12697368421053e-08,2936,"tags=46%, list=19%, signal=37%","77011/17218/72107/17215/17216/17219/19361/69270/214901/18973/22036/12544/16881/67177/67141/23834/69928/212377/218973/70024/77782/17220/268465/21853/72749/327762/27214/19075/107373/18969/52679/12144/106344/18392/18968/79456/12448/20133/69263/237877/57753/21681/71643/12447/22687/18538/104806/56200/56452/108961/235559/226153/19076/66131/217578/216156/18971/12190/18148/78833/107951/19704/234736/18974"
