"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0001525","angiogenesis",461,-0.500458529225775,-1.69502537410182,2.7931024584706e-10,2.7931024584706e-10,1.44623905191757e-06,3037,"tags=37%, list=20%, signal=30%","52679/11601/15945/18751/53417/71920/18760/16399/12741/320736/15258/12159/14181/18189/72324/20292/18799/13844/19274/230775/11727/243362/54485/107449/320910/387220/21928/12778/21413/104709/18131/14234/21802/16476/53614/56233/13874/20496/14257/12828/14066/69903/64103/78560/16542/15245/13846/18854/76905/17395/22341/20312/19229/19223/12554/20672/14254/246707/74144/15370/11490/21349/20684/23876/387216/12562/23871/16847/79221/14268/13609/16414/13655/109901/23797/14180/19225/14182/13642/192187/18596/14172/18707/15242/21846/11504/228852/226841/66864/723960/240725/19016/20866/15507/20319/23796/21390/12490/105450/381823/70726/18613/13731/381290/353156/18595/13713/18654/21944/21687/54409/16598/54598/18750/19263/12306/11826/21939/18127/19876/13845/15901/17286/73230/13809/11745/26903/330267/80837/67122/58861/20351/121021/13805/20963/11606/11607/16840/209743/14465/20356/16854/22422/232983/14164/12767/12389/329941/16416/17268/12628/71690/14205/13638/13617/12654/269120/22418/219033/13179/30955/14183/15139/503844/12837/320924/20927/18191/19242"
"GO:0007389","pattern specification process",331,-0.523078973244353,-1.75570392757056,1.02763516102066e-09,1.02763516102066e-09,2.66049334582139e-06,2638,"tags=35%, list=17%, signal=29%","13411/20350/235320/14234/24063/228357/66993/17536/16973/15227/15245/140859/21417/68713/246102/22420/233826/16848/22414/213575/17260/29871/11819/76260/23893/18845/21389/17537/67694/16348/241062/12227/17285/81896/67685/12153/12667/13654/23967/75691/433809/15438/231214/14182/83453/15437/19335/22411/51938/52906/15242/14725/66910/12156/230824/12167/213081/329795/14632/20319/23796/24136/83675/57810/15417/14734/56198/240888/17701/14313/21892/17965/15223/14634/23805/17130/71233/19876/73916/79362/17286/17427/67122/170765/13805/12614/15410/17305/71870/11835/15412/103889/22422/207607/14164/15208/15375/17268/214575/17702/15214/72507/26564/27412/13617/21386/22418/73293/16917/12705/14633/320772/14183/15213/68922"
"GO:0044782","cilium organization",322,-0.499540415246153,-1.67104229902057,6.50702228744394e-08,6.50702228744394e-08,0.000112308921515568,3772,"tags=41%, list=24%, signal=32%","72982/320234/16328/72421/76816/216560/68642/74019/110350/101565/380718/73668/230872/654470/53883/544696/216846/13417/330830/67661/56455/68708/78795/100048534/19726/109065/75695/57440/217335/105000/436022/381644/232987/76411/381259/16569/231807/332110/52028/72844/74201/20822/56297/319565/78802/78801/68259/246102/207686/241950/213575/67378/12589/385668/76260/56526/319713/74694/50525/67694/15114/16776/72569/81896/67685/269209/67978/102774/67946/110084/234740/380654/234915/27078/217705/211535/75564/19725/627872/231225/231214/242584/382571/319845/218630/74052/75050/19335/51938/52906/74682/102747/66910/192653/636104/320214/213081/329795/209012/218232/71982/227058/668310/68099/264134/73873/15223/69707/66061/71769/73916/320277/71481/17152/75782/259300/17427/227753/229776/66573/226251/207607/241035/72507/64009/75472/286942/244608/239273/66717/73293/195208/68922"
"GO:0006637","acyl-CoA metabolic process",70,0.592265950197496,2.19658483761892,4.47676524742201e-07,4.47676524742201e-07,0.000351691502151787,1854,"tags=47%, list=12%, signal=42%","14081/107476/74147/14104/171281/19193/50790/26897/171210/27273/104112/68263/60525/217698/100705/55951/171282/235339/68738/18597/330450/70456/217700/56690/192156/71832/12974/18604/102247/13350/56451/52538/66885"
"GO:0035383","thioester metabolic process",70,0.592265950197496,2.19658483761892,4.47676524742201e-07,4.47676524742201e-07,0.000351691502151787,1854,"tags=47%, list=12%, signal=42%","14081/107476/74147/14104/171281/19193/50790/26897/171210/27273/104112/68263/60525/217698/100705/55951/171282/235339/68738/18597/330450/70456/217700/56690/192156/71832/12974/18604/102247/13350/56451/52538/66885"
"GO:0060271","cilium assembly",295,-0.493869820427753,-1.65082498256995,4.73010603471846e-07,4.73010603471846e-07,0.000351691502151787,3772,"tags=41%, list=24%, signal=32%","72982/320234/16328/76816/216560/68642/74019/110350/101565/380718/230872/654470/53883/544696/216846/13417/330830/67661/56455/68708/78795/100048534/19726/109065/75695/57440/217335/105000/436022/381644/232987/76411/381259/16569/231807/332110/52028/72844/74201/20822/56297/319565/78801/68259/207686/213575/67378/12589/76260/56526/319713/74694/50525/67694/15114/16776/72569/81896/67685/269209/67978/102774/67946/110084/234740/380654/234915/27078/211535/75564/19725/627872/231225/231214/242584/382571/319845/218630/75050/19335/51938/52906/74682/102747/66910/192653/636104/320214/213081/329795/209012/218232/71982/227058/668310/68099/264134/73873/15223/69707/66061/71769/73916/320277/71481/17152/259300/17427/227753/229776/66573/226251/207607/241035/72507/64009/244608/239273/66717/73293/195208/68922"
"GO:0007423","sensory organ development",462,-0.458048512644635,-1.55128528917787,5.01092430920285e-07,5.01092430920285e-07,0.000351691502151787,2923,"tags=31%, list=19%, signal=26%","29817/320736/15258/12824/232174/12159/74206/13844/19274/233651/54485/58208/12125/17132/16779/17527/12962/387220/14686/14234/24063/16476/66993/20475/56297/234267/12075/17536/16973/15451/16542/12724/21417/53885/76260/12959/17537/18933/50525/11487/14254/17921/216021/81896/102774/58235/241226/234740/50524/16531/193385/387216/27078/23967/14998/239250/18109/22410/14180/231214/14182/212541/26380/22352/18596/83453/52906/20897/16000/14366/15951/12156/230824/723960/12954/19662/12167/213081/22295/16449/98733/54722/24136/19672/16324/57810/20681/13395/242022/18595/102502/16323/17701/70673/19401/14634/80720/11826/16918/108013/22160/12161/20776/13345/73230/80837/442801/56847/12614/14184/12043/224796/68588/231162/17986/15208/18212/195727/329941/107587/17268/18208/21419/260305/15214/12628/26564/13617/11830/14160/21386/22418/14233/16917/11423/19126/14633/12814/12064/14183/15213/12837/13508/19242"
"GO:0030031","cell projection assembly",492,-0.448044799755312,-1.51968992236463,5.43373737823456e-07,5.43373737823456e-07,0.000351691502151787,3478,"tags=35%, list=22%, signal=28%","230872/654470/53883/544696/20563/216846/13417/330830/18186/67661/231532/56455/68708/224014/78795/208727/100048534/19726/109065/12808/77579/75695/57440/57257/16332/217335/329165/23790/105000/436022/66610/381644/27260/232987/76411/18189/381259/13844/16569/231807/332110/52028/72844/74201/110351/20822/217341/56297/234267/65086/319565/78801/68259/207686/385354/213575/67378/12589/76260/170736/56526/319713/74694/50525/12554/67694/15114/16776/72569/20401/22240/81896/20259/67685/269209/67978/102774/67946/110084/234740/380654/193385/68743/234915/27078/56320/211535/105722/13609/75564/19725/627872/231225/231214/242584/382571/319845/18596/218630/75050/19335/51938/52906/74682/228543/102747/66910/13730/192653/14745/636104/320214/213081/329795/13852/209012/218232/71982/227058/668310/13829/68099/13732/18483/70415/13731/264134/73873/56753/17974/15223/69707/66061/18858/11826/71769/73916/27205/320277/67425/71481/17152/11629/259300/17427/80837/23963/77057/121021/227753/229776/56226/66573/226251/207607/241035/12389/18208/18829/72507/64009/244608/239273/108897/13860/66717/105855/73293/75974/73341/195208/68922"
"GO:1901342","regulation of vasculature development",257,-0.503992862302481,-1.67500395120918,8.36512211830415e-07,8.36512211830415e-07,0.000361346447274939,3036,"tags=37%, list=20%, signal=31%","11601/15945/18751/18760/12741/15258/20292/19274/230775/243362/320910/387220/22417/21413/104709/14234/53614/20496/12828/14066/64103/78560/16542/15245/18854/76905/17395/22341/20312/19229/19223/11487/14254/246707/20684/23876/387216/12562/23871/16414/109901/23797/192187/14172/18707/15242/21846/11504/228852/226841/723960/240725/19016/20866/15507/20319/23796/21390/12490/13731/381290/18654/21687/54409/16598/18750/11826/21939/18127/15901/73230/11745/80837/58861/20351/13805/11606/11607/16840/209743/14465/20356/16854/14164/12767/16416/14205/13638/12654/269120/22418/13179/15139/320924/20927/19242"
"GO:0050767","regulation of neurogenesis",379,-0.469772140970703,-1.58569160882271,8.74684190840446e-07,8.74684190840446e-07,0.000361346447274939,2878,"tags=29%, list=19%, signal=24%","12159/320563/20292/13643/13844/216858/214968/54485/20350/97165/70083/12579/228357/20353/66993/65086/16542/17756/12704/22341/20312/18846/20347/18845/16800/15114/14254/11302/238276/387216/13654/56320/16971/16193/14268/24001/15904/56708/18109/20660/104156/22352/108151/14168/58234/19716/14725/16000/17755/11816/12156/19016/243743/98733/18223/218877/13841/171469/20360/24136/22368/12323/20681/18049/56198/216049/17760/63953/14634/12306/19876/15901/56711/79362/20357/20351/14061/15410/14184/12561/13048/20356/21960/22422/56710/70433/235402/15208/14580/12767/18212/76901/20355/18208/235472/21938/15214/71918/22418/11423/17380/12064/19283/15213/77125/13508/22068/20927/19242"
