"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0001654","eye development",309,0.48073139021607,1.97607361052786,1e-10,1e-10,8.0280701754386e-08,3097,"tags=37%, list=20%, signal=30%","19242/242022/12064/16323/20897/12959/13508/12043/64075/12837/19672/195727/14183/56847/19126/14184/98733/12628/12954/231214/20681/16878/11423/208936/12161/16324/80720/17986/320736/58235/12962/83453/387216/17537/18591/11826/12159/329165/12955/13836/269831/723960/18212/13078/213081/12724/102774/19411/387220/329941/17150/17268/80837/24064/14234/14609/20510/234740/66993/16449/53885/24136/76260/16917/14634/15208/19881/58998/56297/13345/18595/218772/21417/14254/16779/81896/11830/54485/214058/20482/244891/98711/20481/11622/116810/228839/50769/212541/16600/21815/333654/21418/14107/12266/54352/20807/18514/50524/77579/107587/101809/227731/22352/19274/442801/19401/24063/544696/58208/21803/260305/22160/19662/12167"
"GO:0001525","angiogenesis",461,0.458421854378407,1.93405836919495,1e-10,1e-10,8.0280701754386e-08,3058,"tags=38%, list=20%, signal=31%","19242/16840/20927/320924/71690/18191/12306/30955/16854/12767/22422/12837/13179/15139/15507/67122/503844/209743/14219/13845/14066/13655/12654/230775/14183/16416/219033/11607/23871/64103/13731/18799/18750/12628/16790/20351/330267/16878/320910/13617/13805/68545/240185/18792/21939/20684/56332/329278/15901/12828/14465/15370/22341/320736/13197/105844/14182/21825/387216/14181/20312/13713/14164/11826/13642/21802/12159/18654/16847/226841/13836/269831/723960/21928/13078/21944/16402/381290/21687/19876/16007/387220/329941/73181/11745/57875/17268/14172/80837/24064/54598/84004/107449/105450/68585/21390/14234/20698/20356/16952/13846/13874/13609/27279/11535/19263/69903/71920/13601/23939/107586/18590/17395/16399/18595/22418/319197/14254/246707/26903/23797/19229/18760/330171/20496/18613/21413/56233/15945/230126/83921/18751/74144/12394/54485/21846/58861/107702/13809/70726/53417/26365/19225/192176/11504/11490/18127/11622/381823/15200/12389/21752/16600/17242/13638/20349/12266/20807/269120/53614/19274/12490/12562/192187/20620/20563/14205/18187/17975/21349/13636/18176/67784"
"GO:0050767","regulation of neurogenesis",379,0.460910122653856,1.92654937633017,1e-10,1e-10,8.0280701754386e-08,3184,"tags=36%, list=21%, signal=30%","19242/20927/77125/22068/19283/56198/12064/15213/235402/12306/12767/13508/22422/14168/17380/18481/20355/21938/216858/19716/79362/18049/16590/15214/56708/14184/13841/98733/243743/18109/235611/13640/20351/20681/13643/16878/11423/12704/76901/56710/17756/71918/15901/22341/20360/20660/387216/20312/20347/14061/12156/12159/13838/51791/18212/56711/20194/19876/78748/73181/22368/235472/18846/68585/70237/20356/214968/22059/240057/16193/66993/15410/17295/18208/24136/14634/15208/16800/27279/12579/14580/63953/15205/18479/24001/22418/20353/13048/18627/233489/14365/14254/65079/269344/18223/70433/83431/20845/54485/17760/20482/108100/15114/19280/20481/58234/12323/11816/53605/218877/18080/21752/232560/17242/20349/20807/56320/319757/16728/19712/20350/99982/22352/15904/13654/19697/20563/18121/12385/21803/67784/67095/67299/238276/228357/12569/18128/213084"
"GO:0007423","sensory organ development",462,0.447616779728209,1.88895333688337,1e-10,1e-10,8.0280701754386e-08,3215,"tags=37%, list=21%, signal=30%","19242/12814/26564/242022/12064/16323/20897/15213/14633/12959/13508/12043/64075/12837/16918/231162/19672/195727/14183/15214/21386/56847/13395/19126/20776/14184/98733/12628/18109/21419/12954/231214/20681/16878/11423/13617/208936/12161/232174/16324/80720/17986/14233/320736/58235/12962/14182/83453/387216/17537/18591/11826/12156/12159/13838/329165/12955/12125/17910/13836/14160/269831/723960/18212/13078/54722/213081/12724/102774/19411/102502/72747/387220/329941/12614/17150/17268/80837/24064/14234/12550/14609/20510/234740/66993/18208/16449/53885/24136/76260/12824/216021/16917/14634/15208/19881/68588/58998/56297/224796/193385/13345/15205/18595/22418/218772/21417/14365/14254/14998/16779/81896/11830/16531/15951/54485/18605/214058/233651/20482/50525/17921/244891/20204/98711/20481/11622/116810/228839/50769/212541/16600/21815/333654/21418/14107/12266/54352/20807/18514/50524/77579/17164/19712/107587/101809/71461/227731/18933/22352/26563/19274/442801/19401/11487/24063/18121/544696/58208/18124/21803/260305/22160/19662/12167/14368/18128/19664/26417/17527/73750"
"GO:0061564","axon development",425,0.442580471128475,1.86269731109695,1e-10,1e-10,8.0280701754386e-08,3218,"tags=38%, list=21%, signal=31%","19242/80883/65254/19283/13175/12064/66797/12661/14633/259277/16574/211187/14587/545428/77018/12767/13508/22422/14009/16001/12043/14168/18481/20355/22253/13845/14183/19716/245450/13848/18049/13395/17967/16774/14184/13841/18750/243743/235611/18858/14226/217692/13640/20351/13641/13643/12801/11423/13617/18164/17756/329278/11658/20360/58235/226251/20347/13642/399558/13838/226841/13836/18212/19876/110596/381979/22368/235472/73710/18612/12978/18846/107449/68585/20356/13866/214968/71436/240057/380684/18208/108699/270058/94185/108655/13846/24136/76260/14634/27279/53625/18479/24001/22418/20353/233489/14365/65079/22330/18223/70433/16779/22439/83431/56386/73205/338362/73991/12552/18605/52666/17760/20482/13639/117606/11820/19280/192176/93691/11816/218877/50769/18080/16600/13638/20910/20349/20807/56320/319757/77579/16728/80297/20350/16776/22352/19274/23964/13654/15516/53321/20563/18121/18187/58208/18124/11735/13636/67784/67095/11785/12167/67299/228357/16452/12569/18128/225743/213084/84035/22323/11302"
"GO:0032787","monocarboxylic acid metabolic process",466,-0.396292420502421,-1.84324652611706,1e-10,1e-10,8.0280701754386e-08,1839,"tags=26%, list=12%, signal=24%","56690/13806/235623/110446/407243/71147/14170/12189/13382/93747/106529/67092/74559/433182/11690/14775/72852/16828/111175/102570/228026/19299/12908/18604/19300/227659/11668/12398/13167/12896/18597/11651/14732/15277/26568/394435/102632/380836/16592/30963/13350/26569/102247/19130/23887/26458/13110/27402/100040843/67111/270076/209692/93732/110119/216188/269060/67469/11886/56357/74246/171281/16889/110208/76574/20787/18641/52665/78245/66885/70456/170459/217700/54325/105387/68738/14933/11676/170439/68263/56473/224530/110460/17436/78894/50790/235339/55951/14085/19013/53322/14245/108079/27413/20250/74147/14555/68801/76267/16891/67432/104112/30049/60525/68312/192654/107476/18563/231070/19224/14104/271844/22229/329065/14081/100705/20249/12491/20512/99035/16956/14077"
"GO:0007409","axonogenesis",383,0.459205804427035,1.91802423034571,1.3180430781778e-10,1.3180430781778e-10,9.06972199359642e-08,3218,"tags=39%, list=21%, signal=32%","80883/65254/19283/13175/12064/66797/12661/14633/16574/211187/14587/545428/77018/12767/13508/22422/14009/16001/12043/14168/18481/20355/22253/13845/14183/245450/13848/18049/13395/17967/16774/14184/13841/18750/243743/235611/18858/217692/13640/20351/13641/13643/11423/13617/18164/17756/329278/11658/20360/58235/226251/20347/13642/399558/13838/13836/18212/19876/110596/381979/22368/235472/73710/18612/12978/18846/107449/68585/20356/13866/214968/71436/240057/380684/18208/108699/270058/108655/13846/24136/76260/14634/27279/53625/18479/24001/22418/20353/233489/14365/65079/22330/18223/70433/16779/22439/83431/56386/73205/338362/73991/12552/52666/17760/20482/13639/117606/11820/19280/93691/11816/218877/50769/18080/13638/20910/20349/20807/56320/319757/77579/16728/80297/20350/16776/22352/19274/23964/13654/15516/53321/20563/18121/18187/58208/18124/11735/13636/67784/67095/11785/12167/67299/228357/12569/18128/225743/213084/22323/11302"
"GO:0048880","sensory system development",310,0.474305963647265,1.95081013266706,5.63133432432179e-10,5.63133432432179e-10,3.01391647580076e-07,3097,"tags=37%, list=20%, signal=30%","19242/242022/12064/16323/20897/12959/13508/12043/64075/12837/19672/195727/14183/56847/19126/14184/98733/12628/12954/231214/20681/16878/11423/208936/12161/16324/80720/17986/320736/58235/12962/83453/387216/17537/18591/11826/12159/329165/12955/13836/269831/723960/18212/13078/213081/12724/102774/19411/387220/329941/17150/17268/80837/24064/14234/14609/20510/234740/66993/16449/53885/24136/76260/16917/14634/15208/19881/58998/56297/13345/18595/218772/21417/14254/16779/81896/11830/54485/214058/20482/244891/98711/20481/11622/116810/228839/50769/212541/16600/21815/333654/21418/14107/12266/54352/20807/18514/50524/77579/107587/101809/227731/22352/19274/442801/19401/24063/544696/58208/21803/260305/22160/19662/12167"
"GO:0150063","visual system development",310,0.474305963647265,1.95081013266706,5.63133432432179e-10,5.63133432432179e-10,3.01391647580076e-07,3097,"tags=37%, list=20%, signal=30%","19242/242022/12064/16323/20897/12959/13508/12043/64075/12837/19672/195727/14183/56847/19126/14184/98733/12628/12954/231214/20681/16878/11423/208936/12161/16324/80720/17986/320736/58235/12962/83453/387216/17537/18591/11826/12159/329165/12955/13836/269831/723960/18212/13078/213081/12724/102774/19411/387220/329941/17150/17268/80837/24064/14234/14609/20510/234740/66993/16449/53885/24136/76260/16917/14634/15208/19881/58998/56297/13345/18595/218772/21417/14254/16779/81896/11830/54485/214058/20482/244891/98711/20481/11622/116810/228839/50769/212541/16600/21815/333654/21418/14107/12266/54352/20807/18514/50524/77579/107587/101809/227731/22352/19274/442801/19401/24063/544696/58208/21803/260305/22160/19662/12167"
"GO:0002009","morphogenesis of an epithelium",493,0.419214043922568,1.77807821669876,7.09592582437276e-10,7.09592582437276e-10,3.41799542866629e-07,3332,"tags=37%, list=21%, signal=30%","11839/16688/16687/26564/12505/242022/56753/231470/15213/14633/16666/94109/12767/18667/22422/16001/12043/14313/67122/241035/14183/73293/21386/11607/56847/16774/57764/230099/14184/13841/11684/17702/18109/231214/20681/16878/15375/13617/13805/241639/17313/17387/22341/100503085/22411/13393/17698/207607/14182/73916/18591/14164/140577/13642/12156/12159/13838/18654/13836/14160/239337/22417/16475/102774/19411/21687/19876/16007/270685/12614/14362/73181/15412/381979/24064/18612/105450/14234/12550/14609/15220/20356/71436/68146/16193/17295/18208/16449/108655/53885/24136/76260/69217/216021/14634/15208/11535/68588/69903/329795/107586/15205/71228/18479/18590/18595/22418/20353/14365/14254/22330/20677/11835/20496/381157/103889/81896/21804/93960/15945/20401/12394/54485/21846/18605/76509/233651/16011/50768/50525/14155/11634/22414/98711/18530/16373/20481/192176/58234/11622/15200/16600/208177/17242/21815/21676/75605/21418/20349/14107/20807/15227/18514/234695/319757/12977/16776/71461/15904/73692/12705/19401/20563/24063/18121/16667/21803/54612/22160/67784/269593/14368/14726/18128/19664/11852/22323/19335/11461/59036/15242/18018"
"GO:0006631","fatty acid metabolic process",326,-0.420908297550179,-1.91541077176902,8.50870130864284e-10,8.50870130864284e-10,3.72591552041623e-07,1839,"tags=28%, list=12%, signal=25%","56690/235623/110446/407243/71147/12189/13382/93747/106529/74559/11690/14775/72852/111175/102570/228026/19299/12908/18604/19300/13167/12896/11651/14732/26568/102632/16592/30963/13350/26569/102247/23887/26458/13110/100040843/67111/270076/93732/216188/269060/67469/11886/56357/171281/16889/76574/20787/52665/78245/66885/217700/54325/105387/68738/14933/170439/56473/224530/110460/78894/50790/19013/53322/14245/108079/27413/20250/74147/68801/76267/16891/104112/30049/60525/68312/192654/107476/231070/19224/14104/271844/22229/329065/14081/100705/20249/12491/99035/16956/14077"
"GO:0033108","mitochondrial respiratory chain complex assembly",90,-0.609374226317125,-2.38002106437016,1.41567759549762e-09,1.41567759549762e-09,5.68257954122553e-07,4302,"tags=68%, list=28%, signal=49%","231430/17993/66414/68002/20930/104130/66495/68349/68198/68493/76178/66379/68185/226646/52469/100042503/67013/17716/68375/407785/69702/225887/70316/67273/595136/66278/66377/17717/68472/68202/66091/69089/17991/68194/71238/68342/17722/70556/17721/66272/66928/75406/66046/235169/230075/17719/69487/69875/66218/66108/67264/66916/227197/75530/26926/68033/68197/68653/66271/70207/54405"
"GO:0051960","regulation of nervous system development",455,0.420513707096575,1.77199856251522,2.65102659619509e-09,2.65102659619509e-09,9.82275117748077e-07,3153,"tags=34%, list=20%, signal=28%","19242/20927/77125/22068/19283/56198/12064/15213/235402/259277/211187/12306/12767/13508/22422/14168/17380/18481/20355/21938/216858/13845/319387/230775/19716/245450/79362/18049/16590/15214/56708/14184/13841/18750/98733/67374/243743/18109/235611/13640/20351/20681/21983/13643/16878/11423/12704/76901/56710/17756/71918/15901/22341/20360/20660/387216/20312/20347/14061/12156/12159/399558/13838/51791/18212/56711/19411/20194/19876/78748/73181/22368/235472/18846/68585/70237/20356/214968/22059/71436/216856/240057/16193/66993/15410/17295/18208/94185/24136/14634/26364/15208/16800/27279/12579/14580/63953/15205/71228/18479/24001/22418/218772/20353/13048/18627/233489/14365/14254/65079/269344/18223/70433/11418/83431/20845/54485/17760/20482/108100/15114/19280/20481/58234/12323/11816/53605/218877/18080/21752/232560/17242/20349/20807/56320/319757/16728/19712/20350/99982/22352/15904/13654/19401/19697/20563/18121/12385/21803/67784/67095/67299/238276/228357/12569/18128"
"GO:0045103","intermediate filament-based process",69,0.663382444529126,2.26184138201282,3.42743336750862e-09,3.42743336750862e-09,1.17924323982853e-06,2159,"tags=48%, list=14%, signal=41%","16688/16687/432987/406223/16666/18772/223650/16679/109620/110310/74127/16682/16660/19041/68239/94179/18810/406219/16680/16668/110596/105732/16670/223917/68828/16669/380684/16691/14580/14027/83431/66322/233335"
"GO:0043010","camera-type eye development",272,0.468759952529648,1.89833364782491,4.58326977292499e-09,4.58326977292499e-09,1.47179245480033e-06,3097,"tags=37%, list=20%, signal=30%","19242/16323/20897/12959/13508/12837/19672/195727/14183/56847/19126/14184/98733/12628/12954/231214/20681/16878/11423/17986/320736/58235/12962/387216/18591/11826/12159/329165/12955/13836/269831/723960/18212/13078/213081/12724/102774/19411/387220/329941/17268/80837/24064/14234/14609/20510/234740/66993/16449/53885/24136/76260/16917/14634/15208/19881/58998/56297/13345/18595/218772/21417/14254/16779/81896/11830/54485/214058/20482/244891/98711/20481/11622/116810/228839/50769/212541/16600/21815/333654/21418/14107/12266/54352/20807/77579/107587/101809/227731/22352/19274/442801/19401/24063/544696/58208/21803/260305/22160/19662/12167"
"GO:0009060","aerobic respiration",152,-0.515431778484973,-2.17001347190054,5.85476055268862e-09,5.85476055268862e-09,1.71086168154529e-06,4463,"tags=68%, list=29%, signal=49%","17448/66052/64384/12850/17993/20916/66414/214917/67530/18293/14194/11949/20917/17718/15251/68349/269523/67126/239017/12859/58805/56428/64602/226646/68073/12534/66043/68943/11666/17716/68375/12857/67834/11957/15929/407785/67680/57423/69702/11947/225887/67472/67892/17995/67273/72900/66925/17717/66383/22273/69089/11946/17722/70556/17721/56451/17710/66152/66114/17709/17720/11958/75406/66945/14467/230075/17706/17711/17719/17708/11950/66694/66218/17705/67264/227197/70383/215951/12866/13382/66148/66445/73467/12858/12861/103172/11429/68197/12398/22272/268697/18597/11651/78330/11428/28080/12176/209692/12974/67914/71832/17449/68263/235339"
"GO:0007389","pattern specification process",331,0.450541070643865,1.86340135237295,6.0381154189153e-09,6.0381154189153e-09,1.71086168154529e-06,4077,"tags=45%, list=26%, signal=34%","68922/26564/56198/320772/15213/14633/21892/22422/14313/67122/14183/17427/79362/13813/15214/73293/21386/67685/14186/15223/27412/17702/17130/231214/13641/12006/15375/13411/13617/13805/214575/232174/12153/22411/207607/14182/83453/73916/17537/72507/71233/14164/12156/12159/213081/19411/17965/19876/12614/15412/17268/14234/14609/22059/240057/68146/29871/66993/15410/213575/16348/24136/76260/16917/14634/235320/15208/71870/11819/329795/107586/15205/22418/12667/21417/11835/103889/81896/67694/23872/54485/17240/233651/22414/18530/16373/20481/17765/116810/66910/21815/21418/12266/20807/15227/18514/319757/20350/23893/22658/13654/12705/23805/24063/18121/544696/18187/70028/12167/228357/18128/19664/53883/240888/19335/11838/14632/15242/246102/23796/18552/57810/15436/15417/70122/78405/277939/16973/241062/17300/110350/12005/230824/12168/13614/654470/52906/19821/21385/226352/21821/20348/11477/67661/17305/18095/18510/104346/17536/245866"
"GO:0045104","intermediate filament cytoskeleton organization",68,0.66021234935599,2.25060951257843,1.31868771026562e-08,1.31868771026562e-08,3.45773953755624e-06,2159,"tags=47%, list=14%, signal=41%","16688/16687/432987/406223/16666/18772/223650/16679/109620/110310/74127/16682/16660/19041/68239/94179/18810/406219/16680/16668/110596/105732/16670/223917/16669/380684/16691/14580/14027/83431/66322/233335"
