"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"R-MMU-6791226","Major pathway of rRNA processing in the nucleolus and cytosol",166,0.667365386319282,2.54427698634362,1e-10,1e-10,4.30526315789474e-09,4499,"tags=83%, list=29%, signal=59%","72515/102614/59028/14113/74035/104662/215193/67973/67619/27966/217995/56095/16785/56040/269261/30877/56200/67134/213773/21771/20084/105372/66164/53414/19982/68436/17975/22186/71340/208144/67186/57750/72662/67097/20085/110816/57315/67671/52705/230082/20055/19951/11837/100503670/20115/27367/20116/27370/76808/217109/20103/72544/270106/268449/20088/64934/67025/66249/68052/20090/75617/216156/20054/227715/27050/100608/54127/26961/67115/229504/67891/114641/22121/19946/20091/68979/67045/19899/66489/73674/100502825/67427/66480/353258/66481/65019/24128/19921/20068/19988/76846/72554/267019/20102/20044/27207/69072/100043813/195434/225348/19981/19942/19941/14791/57294/66475/19944/27993/66483/57808/66362/16898/72198/12181/19934/66583/75416/110954/68193/55989/75273/67276/67281/619547/269470/234374/104318/27998/26451/269536/18572/223499/19989/20104/68028/66138/20005"
"R-MMU-72312","rRNA processing",166,0.667365386319282,2.54427698634362,1e-10,1e-10,4.30526315789474e-09,4499,"tags=83%, list=29%, signal=59%","72515/102614/59028/14113/74035/104662/215193/67973/67619/27966/217995/56095/16785/56040/269261/30877/56200/67134/213773/21771/20084/105372/66164/53414/19982/68436/17975/22186/71340/208144/67186/57750/72662/67097/20085/110816/57315/67671/52705/230082/20055/19951/11837/100503670/20115/27367/20116/27370/76808/217109/20103/72544/270106/268449/20088/64934/67025/66249/68052/20090/75617/216156/20054/227715/27050/100608/54127/26961/67115/229504/67891/114641/22121/19946/20091/68979/67045/19899/66489/73674/100502825/67427/66480/353258/66481/65019/24128/19921/20068/19988/76846/72554/267019/20102/20044/27207/69072/100043813/195434/225348/19981/19942/19941/14791/57294/66475/19944/27993/66483/57808/66362/16898/72198/12181/19934/66583/75416/110954/68193/55989/75273/67276/67281/619547/269470/234374/104318/27998/26451/269536/18572/223499/19989/20104/68028/66138/20005"
"R-MMU-8868773","rRNA processing in the nucleus and cytosol",166,0.667365386319282,2.54427698634362,1e-10,1e-10,4.30526315789474e-09,4499,"tags=83%, list=29%, signal=59%","72515/102614/59028/14113/74035/104662/215193/67973/67619/27966/217995/56095/16785/56040/269261/30877/56200/67134/213773/21771/20084/105372/66164/53414/19982/68436/17975/22186/71340/208144/67186/57750/72662/67097/20085/110816/57315/67671/52705/230082/20055/19951/11837/100503670/20115/27367/20116/27370/76808/217109/20103/72544/270106/268449/20088/64934/67025/66249/68052/20090/75617/216156/20054/227715/27050/100608/54127/26961/67115/229504/67891/114641/22121/19946/20091/68979/67045/19899/66489/73674/100502825/67427/66480/353258/66481/65019/24128/19921/20068/19988/76846/72554/267019/20102/20044/27207/69072/100043813/195434/225348/19981/19942/19941/14791/57294/66475/19944/27993/66483/57808/66362/16898/72198/12181/19934/66583/75416/110954/68193/55989/75273/67276/67281/619547/269470/234374/104318/27998/26451/269536/18572/223499/19989/20104/68028/66138/20005"
"R-MMU-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",84,0.697232450670561,2.44449378655129,1e-10,1e-10,4.30526315789474e-09,4518,"tags=95%, list=29%, signal=68%","14853/16785/56040/269261/20084/19982/68436/22186/67186/67097/20085/67671/20055/19951/11837/100503670/20115/27367/20116/27370/76808/20103/270106/268449/20088/67025/68052/20090/75617/20054/27050/54127/26961/67115/67891/114641/22121/19946/20091/19899/66489/100502825/67427/66480/66481/65019/19921/20068/19988/76846/267019/20102/20044/27207/100043813/18458/19981/19942/19704/14852/19941/57294/66475/19944/225363/66483/57808/16898/19934/110954/68193/67281/619547/26451/19989/20104/68028/208643/20005/433702"
"R-MMU-141424","Amplification of signal from the kinetochores",88,0.692547246752813,2.44364641936818,1e-10,1e-10,4.30526315789474e-09,1234,"tags=36%, list=8%, signal=34%","20877/12235/66468/66977/66570/108000/52276/67629/12236/208628/26886/12615/18817/102920/67052/60411/107995/72415/68549/70385/73804/72155/229841/71876/68014/56150/69928/66934/66442/67037/19387/236930"
"R-MMU-141444","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal",88,0.692547246752813,2.44364641936818,1e-10,1e-10,4.30526315789474e-09,1234,"tags=36%, list=8%, signal=34%","20877/12235/66468/66977/66570/108000/52276/67629/12236/208628/26886/12615/18817/102920/67052/60411/107995/72415/68549/70385/73804/72155/229841/71876/68014/56150/69928/66934/66442/67037/19387/236930"
"R-MMU-72613","Eukaryotic Translation Initiation",109,0.676342087215157,2.44187160513172,1e-10,1e-10,4.30526315789474e-09,4614,"tags=85%, list=30%, signal=60%","16785/56040/269261/20084/19982/68436/22186/67186/67097/20085/67671/13665/13684/20055/19951/11837/100503670/20115/27367/20116/27370/76808/20103/270106/268449/20088/67025/27979/68052/20090/75617/67204/20054/27050/54127/26961/67115/67891/114641/22121/19946/20091/100042807/19899/66489/100502825/67427/66480/78655/66481/65019/19921/20068/19988/76846/267019/20102/20044/27207/100043813/18458/19981/19942/19941/13669/57294/66475/19944/54709/22384/66483/57808/16898/19934/110954/53356/68193/55944/67281/619547/56347/26451/226982/13681/217869/19989/20104/68028/208643/20005/217715/223691/19943"
"R-MMU-72737","Cap-dependent Translation Initiation",109,0.676342087215157,2.44187160513172,1e-10,1e-10,4.30526315789474e-09,4614,"tags=85%, list=30%, signal=60%","16785/56040/269261/20084/19982/68436/22186/67186/67097/20085/67671/13665/13684/20055/19951/11837/100503670/20115/27367/20116/27370/76808/20103/270106/268449/20088/67025/27979/68052/20090/75617/67204/20054/27050/54127/26961/67115/67891/114641/22121/19946/20091/100042807/19899/66489/100502825/67427/66480/78655/66481/65019/19921/20068/19988/76846/267019/20102/20044/27207/100043813/18458/19981/19942/19941/13669/57294/66475/19944/54709/22384/66483/57808/16898/19934/110954/53356/68193/55944/67281/619547/56347/26451/226982/13681/217869/19989/20104/68028/208643/20005/217715/223691/19943"
"R-MMU-72706","GTP hydrolysis and joining of the 60S ribosomal subunit",102,0.677842411103496,2.44111221755328,1e-10,1e-10,4.30526315789474e-09,4614,"tags=89%, list=30%, signal=63%","16785/56040/269261/20084/19982/68436/22186/67186/67097/20085/67671/13665/13684/20055/19951/11837/100503670/20115/27367/20116/27370/76808/20103/270106/268449/20088/67025/27979/68052/20090/75617/67204/20054/27050/54127/26961/67115/67891/114641/22121/19946/20091/100042807/19899/66489/100502825/67427/66480/78655/66481/65019/19921/20068/19988/76846/267019/20102/20044/27207/100043813/19981/19942/19941/13669/57294/66475/19944/54709/22384/66483/57808/16898/19934/110954/53356/68193/55944/67281/619547/56347/26451/226982/13681/217869/19989/20104/68028/208643/20005/223691/19943"
"R-MMU-156827","L13a-mediated translational silencing of Ceruloplasmin expression",101,0.677708597052966,2.43554807224458,1e-10,1e-10,4.30526315789474e-09,4614,"tags=89%, list=30%, signal=63%","16785/56040/269261/20084/19982/68436/22186/67186/67097/20085/67671/13665/13684/20055/19951/11837/100503670/20115/27367/20116/27370/76808/20103/270106/268449/20088/67025/27979/68052/20090/75617/67204/20054/27050/54127/26961/67115/67891/114641/22121/19946/20091/100042807/19899/66489/100502825/67427/66480/78655/66481/65019/19921/20068/19988/76846/267019/20102/20044/27207/100043813/18458/19981/19942/19941/13669/57294/66475/19944/54709/22384/66483/57808/16898/19934/110954/53356/68193/55944/67281/619547/56347/26451/13681/19989/20104/68028/208643/20005/223691/19943"
