"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"R-MMU-1428517","The citric acid (TCA) cycle and respiratory electron transport",158,0.608439599409095,2.35198764499737,1e-10,1e-10,4.87894736842105e-08,3892,"tags=66%, list=25%, signal=50%","212933/109264/68375/66152/17436/69702/27273/68342/27425/56451/110826/54405/66052/66218/11958/67184/68197/12868/12861/22229/17992/228033/66377/26940/68202/68055/16832/66379/18597/14194/11947/595136/68198/66091/66445/20916/22272/78920/66706/66108/11949/22333/72900/22273/28080/66495/66916/110323/67264/235339/67680/78330/67834/75406/230075/68349/17991/11429/73694/68636/407785/67126/67003/20917/66046/12867/70207/110842/66142/57423/12974/66414/17993/18604/225887/17448/12857/226646/170718/227197/11946/69487/11950/68472/11951/71679/104130/18293/66416/70316/68493/15929/66043/17995/68194/11957/67273/109801/66925/210582/66694/319518/236900/66945/67130"
"R-MMU-163200","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",114,0.63958352157096,2.34346412039052,1e-10,1e-10,4.87894736842105e-08,3401,"tags=65%, list=22%, signal=51%","212933/68375/66152/69702/68342/27425/110826/54405/66218/11958/67184/68197/12868/12861/22229/17992/228033/66377/26940/68202/68055/66379/11947/595136/68198/66091/66445/22272/66706/66108/11949/72900/22273/28080/66495/66916/110323/67264/78330/75406/230075/68349/17991/73694/407785/67126/67003/66046/12867/70207/110842/66142/57423/66414/17993/225887/12857/226646/227197/11946/69487/11950/68472/11951/71679/104130/66416/70316/68493/66043/17995/68194/11957/67273"
"R-MMU-611105","Respiratory electron transport",91,0.628791539871191,2.24409092893235,3.00366815373947e-09,3.00366815373947e-09,9.76982588953154e-07,3529,"tags=64%, list=23%, signal=50%","68375/66152/69702/68342/110826/54405/66218/67184/68197/12868/12861/17992/66377/26940/68202/66379/595136/68198/66091/66445/22272/66706/66108/72900/22273/66495/66916/110323/67264/78330/75406/230075/68349/17991/73694/407785/67003/66046/12867/70207/110842/66142/66414/17993/225887/12857/226646/227197/69487/68472/104130/66416/70316/68493/17995/68194/67273/210582"
"R-MMU-6799198","Complex I biogenesis",55,0.69346934615565,2.26323136029492,6.81017119240941e-08,6.81017119240941e-08,1.66132334088514e-05,3401,"tags=75%, list=22%, signal=58%","68375/69702/68342/54405/66218/67184/68197/66377/26940/68202/595136/68198/66091/66706/66108/72900/66495/66916/67264/78330/75406/230075/68349/17991/73694/407785/66046/66414/17993/225887/226646/227197/69487/68472/104130/66416/70316/68493/17995/68194/67273"
"R-MMU-445355","Smooth Muscle Contraction",29,0.695120952036305,1.95878104540014,0.000237827743838639,0.000237827743838639,0.046317830094113,1663,"tags=55%, list=11%, signal=49%","11468/109700/98932/11475/22004/60596/59310/20411/242202/22003/17904/54195/93689/22330/19303/21894"
"R-MMU-163210","Formation of ATP by chemiosmotic coupling",17,0.770799240412303,1.89827977205661,0.000338636668368829,0.000338636668368829,0.046317830094113,3382,"tags=88%, list=22%, signal=69%","27425/11958/228033/68055/11947/11949/28080/67126/57423/11946/11950/11951/71679/66043/11957"
"R-MMU-8949613","Cristae formation",17,0.770799240412303,1.89827977205661,0.000338636668368829,0.000338636668368829,0.046317830094113,3382,"tags=88%, list=22%, signal=69%","27425/11958/228033/68055/11947/11949/28080/67126/57423/11946/11950/11951/71679/66043/11957"
"R-MMU-1592230","Mitochondrial biogenesis",27,0.688095431300272,1.91601536374777,0.000379736255356266,0.000379736255356266,0.046317830094113,3382,"tags=67%, list=22%, signal=52%","27425/20656/11958/228033/60525/68055/11947/11949/28080/67126/57423/11946/11950/11951/75387/71679/66043/11957"
"R-MMU-71403","Citric acid cycle (TCA cycle)",21,0.70986295872399,1.84085613125771,0.000847512155117443,0.000847512155117443,0.0918881599758912,3822,"tags=86%, list=25%, signal=65%","109264/56451/66052/14194/20916/78920/67680/67834/11429/68636/20917/12974/17448/170718/18293/15929/66925/66945"
"R-MMU-1296072","Voltage gated Potassium channels",23,-0.68535185838057,-1.85531006140048,0.000959670120013343,0.000959670120013343,0.0936436001318284,1947,"tags=61%, list=13%, signal=53%","16508/238076/16538/16490/16512/240444/16494/16535/16485/16493/16511/16497/211468/16500"
