"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"R-MMU-6791226","Major pathway of rRNA processing in the nucleolus and cytosol",166,0.658940960211524,2.51031404084756,1e-10,1e-10,4.58162139289662e-09,4410,"tags=81%, list=28%, signal=58%","59028/104662/72515/105372/67973/110816/217995/16785/56095/67134/102614/14113/27966/72544/74035/215193/269261/56040/67619/66164/20085/230082/53414/208144/20103/57315/67097/30877/20084/67186/17975/56200/20055/19982/20826/57750/19951/11837/22186/20088/66481/227715/100043813/75617/68979/67115/216156/217109/68436/22121/20115/52705/27993/21771/100503670/20054/20116/76808/57808/26961/66489/27050/54127/19946/65019/18572/27207/67671/270106/20090/268449/75273/66249/64934/20102/67891/76846/269470/57294/67025/100502825/27370/14791/72662/73674/267019/213773/19899/66362/20091/19944/66583/19988/104318/66475/225348/19941/229504/100608/67427/20044/353258/68052/19934/195434/71340/20068/114641/19921/68028/67276/72554/26451/24128/66480/74778/27367/234374/69072/75416/66138/20005/19943/16898/20104/619547/110954/19981/67281/19942/269536/67045/65961/19989"
"R-MMU-72312","rRNA processing",166,0.658940960211524,2.51031404084756,1e-10,1e-10,4.58162139289662e-09,4410,"tags=81%, list=28%, signal=58%","59028/104662/72515/105372/67973/110816/217995/16785/56095/67134/102614/14113/27966/72544/74035/215193/269261/56040/67619/66164/20085/230082/53414/208144/20103/57315/67097/30877/20084/67186/17975/56200/20055/19982/20826/57750/19951/11837/22186/20088/66481/227715/100043813/75617/68979/67115/216156/217109/68436/22121/20115/52705/27993/21771/100503670/20054/20116/76808/57808/26961/66489/27050/54127/19946/65019/18572/27207/67671/270106/20090/268449/75273/66249/64934/20102/67891/76846/269470/57294/67025/100502825/27370/14791/72662/73674/267019/213773/19899/66362/20091/19944/66583/19988/104318/66475/225348/19941/229504/100608/67427/20044/353258/68052/19934/195434/71340/20068/114641/19921/68028/67276/72554/26451/24128/66480/74778/27367/234374/69072/75416/66138/20005/19943/16898/20104/619547/110954/19981/67281/19942/269536/67045/65961/19989"
"R-MMU-8868773","rRNA processing in the nucleus and cytosol",166,0.658940960211524,2.51031404084756,1e-10,1e-10,4.58162139289662e-09,4410,"tags=81%, list=28%, signal=58%","59028/104662/72515/105372/67973/110816/217995/16785/56095/67134/102614/14113/27966/72544/74035/215193/269261/56040/67619/66164/20085/230082/53414/208144/20103/57315/67097/30877/20084/67186/17975/56200/20055/19982/20826/57750/19951/11837/22186/20088/66481/227715/100043813/75617/68979/67115/216156/217109/68436/22121/20115/52705/27993/21771/100503670/20054/20116/76808/57808/26961/66489/27050/54127/19946/65019/18572/27207/67671/270106/20090/268449/75273/66249/64934/20102/67891/76846/269470/57294/67025/100502825/27370/14791/72662/73674/267019/213773/19899/66362/20091/19944/66583/19988/104318/66475/225348/19941/229504/100608/67427/20044/353258/68052/19934/195434/71340/20068/114641/19921/68028/67276/72554/26451/24128/66480/74778/27367/234374/69072/75416/66138/20005/19943/16898/20104/619547/110954/19981/67281/19942/269536/67045/65961/19989"
"R-MMU-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",84,0.69132837714131,2.41292522398605,1e-10,1e-10,4.58162139289662e-09,4208,"tags=89%, list=27%, signal=65%","14853/16785/269261/56040/20085/20103/67097/20084/67186/20055/19982/19951/11837/22186/20088/66481/100043813/75617/67115/68436/22121/20115/100503670/20054/20116/76808/57808/26961/66489/27050/54127/19946/19704/65019/27207/67671/270106/20090/268449/20102/67891/76846/57294/67025/100502825/27370/267019/19899/20091/19944/19988/66475/19941/67427/20044/68052/19934/20068/114641/19921/68028/26451/66480/27367/20005/19943/16898/20104/619547/110954/14852/19981/67281/433702/19942"
"R-MMU-2500257","Resolution of Sister Chromatid Cohesion",111,0.660440712300437,2.38662131124666,1e-10,1e-10,4.58162139289662e-09,2110,"tags=38%, list=14%, signal=33%","66468/20877/12235/66570/26886/67849/67629/12236/108000/208628/66977/52276/268697/12534/12615/18817/67052/68549/73804/107995/70385/236930/60411/69928/68014/66934/102920/22153/72155/72415/71876/229841/56150/53857/16319/22152/69912/12442/67037/66442/19387/320394"
"R-MMU-1799339","SRP-dependent cotranslational protein targeting to membrane",82,0.680786378193659,2.36902991476622,1e-10,1e-10,4.58162139289662e-09,4208,"tags=87%, list=27%, signal=63%","16785/269261/56040/20085/20103/67097/20084/67186/20055/19982/19951/11837/22186/20088/66481/100043813/75617/67115/68436/22121/20115/100503670/20054/20116/76808/57808/26961/66489/27050/54127/19946/65019/27207/67671/270106/20090/268449/20102/67891/76846/57294/67025/100502825/27370/267019/19899/20091/19944/19988/66475/19941/67427/20044/68052/19934/20068/114641/19921/68028/26451/66480/27367/20005/19943/16898/20104/619547/110954/19981/67281/19942"
"R-MMU-72689","Formation of a pool of free 40S subunits",91,0.673112170144842,2.36261122660869,1e-10,1e-10,4.58162139289662e-09,4208,"tags=81%, list=27%, signal=60%","16785/269261/56040/20085/20103/67097/20084/67186/20055/19982/19951/11837/22186/20088/66481/100043813/75617/67115/68436/22121/20115/100503670/20054/20116/76808/57808/26961/66489/27050/54127/19946/65019/27207/67671/270106/20090/268449/20102/67891/76846/57294/67025/100502825/27370/54709/267019/19899/20091/19944/19988/66475/19941/27979/67427/20044/68052/19934/20068/114641/19921/68028/26451/66480/27367/20005/19943/16898/20104/619547/110954/19981/67281/223691/19942"
"R-MMU-72706","GTP hydrolysis and joining of the 60S ribosomal subunit",102,0.655010503683003,2.35319427054791,1e-10,1e-10,4.58162139289662e-09,4208,"tags=75%, list=27%, signal=55%","16785/269261/56040/20085/20103/67097/20084/67186/20055/19982/19951/11837/22186/20088/66481/100043813/75617/67115/68436/22121/20115/100503670/20054/20116/76808/57808/26961/66489/27050/54127/19946/65019/27207/67671/270106/20090/268449/20102/67891/76846/57294/67025/100502825/27370/54709/267019/19899/20091/19944/19988/66475/19941/27979/67427/20044/68052/19934/20068/114641/19921/68028/26451/13665/66480/27367/20005/19943/13681/16898/20104/619547/110954/19981/67281/223691/19942"
"R-MMU-156827","L13a-mediated translational silencing of Ceruloplasmin expression",101,0.654166377324363,2.34911662804041,1e-10,1e-10,4.58162139289662e-09,4208,"tags=75%, list=27%, signal=55%","16785/269261/56040/20085/20103/67097/20084/67186/20055/19982/19951/11837/22186/20088/66481/100043813/75617/67115/68436/22121/20115/100503670/20054/20116/76808/57808/26961/66489/27050/54127/19946/65019/27207/67671/270106/20090/268449/20102/67891/76846/57294/67025/100502825/27370/54709/267019/19899/20091/19944/19988/66475/19941/27979/67427/20044/68052/19934/20068/114641/19921/68028/26451/13665/66480/27367/20005/19943/13681/16898/20104/619547/110954/19981/67281/223691/19942"
"R-MMU-141424","Amplification of signal from the kinetochores",88,0.668593736806259,2.33608403451047,1e-10,1e-10,4.58162139289662e-09,2110,"tags=40%, list=14%, signal=35%","66468/20877/12235/66570/26886/67629/12236/108000/208628/66977/52276/12615/18817/67052/68549/73804/107995/70385/236930/60411/69928/68014/66934/102920/72155/72415/71876/229841/56150/16319/69912/67037/66442/19387/320394"
"R-MMU-141444","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal",88,0.668593736806259,2.33608403451047,1e-10,1e-10,4.58162139289662e-09,2110,"tags=40%, list=14%, signal=35%","66468/20877/12235/66570/26886/67629/12236/108000/208628/66977/52276/12615/18817/67052/68549/73804/107995/70385/236930/60411/69928/68014/66934/102920/72155/72415/71876/229841/56150/16319/69912/67037/66442/19387/320394"
"R-MMU-9648025","EML4 and NUDC in mitotic spindle formation",100,0.648304316255332,2.31860250192582,1e-10,1e-10,4.58162139289662e-09,2110,"tags=38%, list=14%, signal=33%","66468/20877/12235/66570/26886/67629/12236/108000/208628/66977/52276/12615/18817/67052/68549/73804/107995/70385/236930/60411/69928/68014/66934/102920/22153/72155/72415/71876/229841/56150/53857/16319/22152/69912/67037/66442/19387/320394"
"R-MMU-68877","Mitotic Prometaphase",181,0.568425654874346,2.18549897752569,1e-10,1e-10,4.58162139289662e-09,2110,"tags=28%, list=14%, signal=24%","66468/20877/12235/66570/26886/67849/54392/67629/12236/108000/208628/66977/52276/18005/268697/12534/12615/18817/67052/68549/73804/215387/107995/70385/236930/60411/69928/68014/66934/102920/22153/72155/72415/71876/229841/56150/14211/53857/16319/22152/69912/12442/20873/67037/219072/66442/78177/19387/231123/320394"
"R-MMU-2467813","Separation of Sister Chromatids",173,0.566712044317805,2.17302327201285,1e-10,1e-10,4.58162139289662e-09,2435,"tags=27%, list=16%, signal=23%","66468/20877/12235/66570/26886/67849/67629/12236/68612/108000/208628/66977/52276/12615/18817/105988/67052/68549/73804/107995/70385/236930/60411/69928/68014/66934/102920/22153/72155/72415/71876/229841/56150/53857/16319/22152/69912/67037/66442/19387/320394/19171/22186/78294/22145/100043813"
"R-MMU-2555396","Mitotic Metaphase and Anaphase",210,0.547858429756644,2.13982151123356,1e-10,1e-10,4.58162139289662e-09,2435,"tags=26%, list=16%, signal=22%","66468/20877/12235/66570/26886/67849/67629/12236/68612/108000/208628/66977/52276/268697/12534/12615/18817/105988/67052/68549/73804/107995/70385/236930/67141/60411/69928/16906/68014/66934/102920/22153/72155/72415/71876/229841/56150/53857/16319/22152/69912/12442/67037/72787/66442/100088/66371/19387/320394/107939/19171/22186/78294/22145/100043813"
"R-MMU-68882","Mitotic Anaphase",209,0.543823926181283,2.12128257910763,1e-10,1e-10,4.58162139289662e-09,2435,"tags=26%, list=16%, signal=22%","66468/20877/12235/66570/26886/67849/67629/12236/68612/108000/208628/66977/52276/268697/12534/12615/18817/105988/67052/68549/73804/107995/70385/236930/60411/69928/16906/68014/66934/102920/22153/72155/72415/71876/229841/56150/53857/16319/22152/69912/12442/67037/72787/66442/100088/66371/19387/320394/107939/19171/22186/78294/22145/100043813"
"R-MMU-69620","Cell Cycle Checkpoints",256,0.521645943766355,2.08878765787001,1e-10,1e-10,4.58162139289662e-09,2435,"tags=29%, list=16%, signal=24%","66468/20877/12235/17218/26909/223970/66570/26886/17215/12189/17216/67629/12236/68612/108000/17219/208628/66977/52276/268697/12534/12428/12615/12021/18817/67052/68549/237911/73804/12649/107995/12544/70385/236930/60411/23834/12532/69928/269582/68014/70024/17220/66934/102920/72155/327762/27214/72415/71876/229841/12144/56150/106344/18392/15270/16319/12448/69912/69263/319161/12442/12447/67037/66442/19387/12530/320394/107823/235559/19171/22186/78294/100043813"
"R-MMU-69278","Cell Cycle, Mitotic",457,0.46391313435826,1.92130674347164,1e-10,1e-10,4.58162139289662e-09,2834,"tags=26%, list=18%, signal=22%","66468/20877/54563/71819/12235/17218/66570/26886/17215/67849/17216/71988/54392/67629/12236/68612/108000/17219/208628/66977/52276/18005/268697/12534/12428/69270/13555/12615/18973/72119/18817/105988/67052/68549/15366/73804/215387/107995/12544/70385/236930/16881/67177/67141/60411/23834/12532/69928/20878/16906/68014/70024/17220/66934/102920/22153/19348/12571/72155/76044/327762/27214/19075/19650/72415/71876/242705/18969/229841/56150/106344/14211/53857/18392/57441/21664/18968/15270/16319/12448/22152/69912/67121/69263/319161/12442/20873/12447/67037/219072/72787/66442/100088/78177/12567/231506/66371/19387/18538/12530/231123/320394/107939/68298/19171/19076/22186/78294/22145/100043813/13557/19384/18971/78833/78798/218210/30939/18141/225659/76478/77744"
"R-MMU-72613","Eukaryotic Translation Initiation",109,0.623344686936009,2.24444348367233,1.05516129048528e-10,1.05516129048528e-10,4.58162139289662e-09,4410,"tags=72%, list=28%, signal=52%","16785/269261/56040/20085/20103/67097/20084/67186/20055/19982/19951/11837/22186/20088/66481/100043813/75617/67115/68436/22121/20115/100503670/20054/20116/76808/57808/26961/66489/27050/54127/19946/65019/27207/67671/270106/20090/268449/20102/67891/76846/57294/67025/100502825/27370/54709/267019/19899/20091/19944/19988/66475/19941/27979/67427/20044/68052/19934/20068/114641/19921/68028/26451/13665/66480/27367/20005/19943/13681/16898/20104/619547/110954/19981/67281/223691/19942/217715/19989"
"R-MMU-72737","Cap-dependent Translation Initiation",109,0.623344686936009,2.24444348367233,1.05516129048528e-10,1.05516129048528e-10,4.58162139289662e-09,4410,"tags=72%, list=28%, signal=52%","16785/269261/56040/20085/20103/67097/20084/67186/20055/19982/19951/11837/22186/20088/66481/100043813/75617/67115/68436/22121/20115/100503670/20054/20116/76808/57808/26961/66489/27050/54127/19946/65019/27207/67671/270106/20090/268449/20102/67891/76846/57294/67025/100502825/27370/54709/267019/19899/20091/19944/19988/66475/19941/27979/67427/20044/68052/19934/20068/114641/19921/68028/26451/13665/66480/27367/20005/19943/13681/16898/20104/619547/110954/19981/67281/223691/19942/217715/19989"
"R-MMU-927802","Nonsense-Mediated Decay (NMD)",104,0.631220601597762,2.27060228269923,1.93033663467272e-10,1.93033663467272e-10,7.61974987370810e-09,4208,"tags=76%, list=27%, signal=56%","14853/16785/269261/74133/56040/20085/20103/67097/20084/67186/20055/19982/19951/11837/22186/20088/66481/100043813/75617/67115/68436/22121/20115/100503670/20054/20116/76808/57808/26961/66489/27050/54127/19946/19704/65019/27207/67671/270106/20090/268449/20102/67891/76846/57294/67025/100502825/27370/267019/19826/19899/20091/19944/19988/66475/19941/67427/20044/68052/19934/20068/192170/114641/19921/68028/26451/66480/27367/20005/19943/16898/20104/619547/17149/110954/14852/19981/67281/433702/19942"
"R-MMU-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)",104,0.631220601597762,2.27060228269923,1.93033663467272e-10,1.93033663467272e-10,7.61974987370810e-09,4208,"tags=76%, list=27%, signal=56%","14853/16785/269261/74133/56040/20085/20103/67097/20084/67186/20055/19982/19951/11837/22186/20088/66481/100043813/75617/67115/68436/22121/20115/100503670/20054/20116/76808/57808/26961/66489/27050/54127/19946/19704/65019/27207/67671/270106/20090/268449/20102/67891/76846/57294/67025/100502825/27370/267019/19826/19899/20091/19944/19988/66475/19941/67427/20044/68052/19934/20068/192170/114641/19921/68028/26451/66480/27367/20005/19943/16898/20104/619547/17149/110954/14852/19981/67281/433702/19942"
"R-MMU-69618","Mitotic Spindle Checkpoint",105,0.626582251703158,2.25089587359899,3.55523739383069e-10,3.55523739383069e-10,1.34236652169809e-08,2110,"tags=34%, list=14%, signal=30%","66468/20877/12235/66570/26886/67629/12236/68612/108000/208628/66977/52276/12615/18817/67052/68549/73804/107995/70385/236930/60411/69928/68014/66934/102920/72155/72415/71876/229841/56150/16319/69912/67037/66442/19387/320394"
"R-MMU-5663220","RHO GTPases Activate Formins",125,0.59057534215264,2.17105707316423,1.5510662595893e-09,1.5510662595893e-09,5.61241080772446e-08,2110,"tags=33%, list=14%, signal=29%","66468/20877/12235/66570/26886/67629/12236/108000/208628/66977/52276/56419/12615/18817/67052/68549/73804/107995/70385/236930/60411/69928/57778/68014/66934/102920/22153/72155/72415/71876/22379/229841/56150/53857/16319/22152/69912/67037/66442/19387/320394"
"R-MMU-68886","M Phase",342,0.426696703205628,1.74305667744328,2.51782523409295e-07,2.51782523409295e-07,8.46547315475815e-06,2435,"tags=21%, list=16%, signal=18%","66468/20877/54563/71819/12235/66570/26886/67849/54392/67629/12236/68612/108000/208628/66977/52276/18005/268697/12534/12615/18817/105988/67052/68549/73804/215387/107995/70385/236930/67141/60411/69928/16906/68014/66934/102920/22153/19348/72155/76044/72415/71876/229841/56150/14211/53857/15270/16319/22152/69912/67121/319161/12442/20873/67037/219072/72787/66442/100088/78177/66371/19387/231123/320394/107939/68298/19171/22186/78294/22145/100043813"
"R-MMU-72203","Processing of Capped Intron-Containing Pre-mRNA",220,0.477191966319069,1.87970547386578,2.53451135663668e-07,2.53451135663668e-07,8.46547315475815e-06,5673,"tags=57%, list=37%, signal=37%","54563/170722/69878/68278/69912/98985/21681/20492/72787/66420/50783/66585/27756/70767/107939/56488/20826/28000/28035/20641/69241/20382/245841/73666/218210/18141/66101/66491/68981/225027/66094/68011/19826/70052/20020/223921/101943/67678/238831/15382/107701/98053/77134/60321/22608/231889/54188/68479/227699/192170/94230/67480/110809/20624/57905/59013/53607/67332/15568/269113/56194/68219/67439/17149/68705/234865/83701/433702/108062/170762/66810/11991/54633/20227/22185/69207/94315/23983/69736/13211/20383/59015/67465/445007/64340/230596/53319/53817/20643/192159/231329/76479/108014/66441/98758/83410/20638/60532/27967/15387/72047/66679/20462/68988/19655/56031/72124/67337/103468/13204/51786/66373/71844/66231/15481/60365/18521/210529/53317/233908/108121/71805/432508/53379/71702/67710"
"R-MMU-72163","mRNA Splicing - Major Pathway",162,0.50369834399184,1.92039530966353,8.63877104345241e-07,8.63877104345241e-07,2.77855208999931e-05,5673,"tags=60%, list=37%, signal=38%","69878/98985/21681/66420/50783/66585/27756/70767/20826/28000/28035/20641/69241/20382/245841/66101/66491/68981/225027/66094/68011/19826/70052/20020/101943/67678/238831/15382/107701/98053/77134/60321/22608/231889/54188/68479/192170/94230/67480/110809/20624/57905/59013/53607/67332/15568/56194/68219/67439/17149/68705/83701/433702/108062/66810/11991/54633/20227/22185/69207/94315/23983/13211/20383/67465/64340/230596/20643/192159/231329/76479/108014/66441/98758/83410/20638/27967/15387/72047/20462/68988/19655/56031/67337/13204/51786/66373/15481/60365/18521/53317/233908/108121/432508/53379/71702/67710"
