"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"R-MMU-1428517","The citric acid (TCA) cycle and respiratory electron transport",158,0.536762846725345,2.2001928770671,1e-10,1e-10,9.2e-08,4848,"tags=67%, list=31%, signal=47%","22229/76187/27273/68263/235339/18597/54405/68197/22227/17436/17705/230075/12974/17719/18604/229211/17711/78330/17708/17710/56451/12857/28080/66841/17706/17709/17717/12867/228033/17718/68636/15929/22272/269951/20181/66445/212933/68194/12861/67273/12858/66046/110842/66218/20917/66925/11951/66916/226646/66108/66694/17722/13382/17716/12868/17721/70207/11946/22273/68342/67264/11950/17991/319518/67003/110323/66091/11429/27402/66272/66945/66142/78920/17995/72900/26940/217666/110826/20930/20463/20916/66152/69702/66043/407785/66576/231430/17992/16828/17993/109801/11947/19015/27425/68493/381511/17448/68375/67126/170718/72416/66379/68202/68033/227197/75406"
"R-MMU-163200","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",114,0.563228311102766,2.18379004883055,9.25944460701553e-10,9.25944460701553e-10,4.25934451922714e-07,4920,"tags=68%, list=32%, signal=47%","22229/54405/68197/22227/17705/230075/17719/229211/17711/78330/17708/17710/12857/28080/66841/17706/17709/17717/12867/228033/17718/22272/66445/212933/68194/12861/67273/12858/66046/110842/66218/11951/66916/226646/66108/66694/17722/17716/12868/17721/70207/11946/22273/68342/67264/11950/17991/67003/110323/66091/66272/66142/17995/72900/26940/110826/20930/20463/66152/69702/66043/407785/66576/231430/17992/17993/11947/27425/68493/68375/67126/72416/66379/68202/68033/227197/75406/100042503"
"R-MMU-611105","Respiratory electron transport",91,0.579142746554002,2.16258801004493,3.27435399092749e-08,3.27435399092749e-08,1.00413522388443e-05,4920,"tags=70%, list=32%, signal=48%","54405/68197/230075/17719/229211/17711/78330/17708/17710/12857/66841/17709/17717/12867/17718/22272/66445/68194/12861/67273/12858/66046/110842/66218/66916/226646/66108/66694/17722/17716/12868/17721/70207/22273/68342/67264/17991/67003/110323/66091/66272/66142/17995/72900/26940/110826/20930/20463/66152/69702/407785/66576/231430/17992/17993/68493/68375/72416/66379/68202/68033/227197/75406/100042503"
"R-MMU-425393","Transport of inorganic cations/anions and amino acids/oligopeptides",78,0.532326498310904,1.97544067258034,7.63396050835459e-06,7.63396050835459e-06,0.00175581091692156,1816,"tags=37%, list=12%, signal=33%","110895/241612/56774/20512/76257/20531/208890/238384/215113/22598/214111/20515/65221/20539/50934/27376/11989/53896/320718/226999/235504/20511/26570/83429/71803/170756/268512/72961/11987"
"R-MMU-8978868","Fatty acid metabolism",137,0.435429961620896,1.73000578296153,1.6996023944993e-05,1.6996023944993e-05,0.00312726840587872,2444,"tags=43%, list=16%, signal=37%","21835/14081/107476/26458/74147/14104/171281/20249/50790/13110/26897/78245/11690/171210/13078/76267/13167/104112/217698/100705/171282/56348/30963/93732/54325/217700/56690/102632/97212/56473/108079/19215/68801/12908/17850/235674/12896/52538/15107/11409/19224/111175/23986/13358/257633/57279/625249/11363/231086/70757/26922/14775/20181/14776/74559/11370/23801/106529/74522"
"R-MMU-6799198","Complex I biogenesis",55,0.55707740943025,1.96431238021527,0.000101578324393837,0.000101578324393837,0.0155753430737217,4920,"tags=62%, list=32%, signal=42%","54405/68197/230075/17719/229211/78330/17717/17718/68194/67273/66046/66218/66916/226646/66108/17722/17716/17721/68342/67264/17991/66091/17995/72900/26940/69702/407785/17993/68493/68375/68202/227197/75406/100042503"
"R-MMU-389661","Glyoxylate metabolism and glycine degradation",24,0.689246381273862,1.99695734934097,0.000141379573167759,0.000141379573167759,0.0171619092984197,3030,"tags=67%, list=20%, signal=54%","104174/67432/14711/68263/235339/18597/209692/68133/70503/623661/14719/434437/79464/212647/13382/13171"
"R-MMU-195253","Degradation of beta-catenin by the destruction complex",73,0.482725559418936,1.76178778508487,0.000183500950841638,0.000183500950841638,0.0171619092984197,6192,"tags=67%, list=40%, signal=41%","212398/21415/14296/225849/22190/16913/57296/21888/21887/103554/19181/19185/69077/17463/66413/70247/12005/19184/23996/26443/19179/19182/19052/19177/66998/19171/26445/19172/19173/19192/66997/26444/26441/22123/19166/23997/21416/226849/51792/22186/26932/360216/19170/13017/21762/67089/19188/13016/26446"
"R-MMU-5389840","Mitochondrial translation elongation",82,0.458685817939165,1.70989496839564,0.000215926017907703,0.000215926017907703,0.0171619092984197,6270,"tags=66%, list=40%, signal=39%","94065/56282/78523/107733/24030/69089/56280/67840/66047/99045/121022/66973/64660/68499/27398/68565/232536/94063/67270/60441/67212/67308/66292/66493/28028/66448/59054/68611/66128/66223/64659/66163/64655/66258/77721/68537/67036/68735/50529/64656/67681/94064/74600/14548/67707/75398/66077/66419/27397/56284/66230/94062/79044/28030"
"R-MMU-69601","Ubiquitin Mediated Degradation of Phosphorylated Cdc25A",49,0.547648416511237,1.89239877971145,0.000223850990848952,0.000223850990848952,0.0171619092984197,6192,"tags=73%, list=40%, signal=44%","50883/12530/22190/16913/57296/103554/19181/19185/69077/17463/66413/70247/19184/23996/26443/19179/19182/19177/66998/19171/26445/19172/19173/19192/66997/26444/26441/22123/19166/23997/22186/19170/21762/67089/19188/26446"
