"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"R-MMU-611105","Respiratory electron transport",91,-0.647918723699904,-2.50932821095036,1e-10,1e-10,2.95087719298246e-08,4044,"tags=75%, list=26%, signal=56%","20930/210582/104130/66495/17718/68349/68198/68493/67184/66379/226646/110842/76916/100042503/17716/68375/12857/407785/69702/17992/225887/70316/17995/67273/72900/595136/66377/110323/17717/68472/68202/22273/66091/17991/68194/68342/17722/26940/67003/17721/66272/17710/66152/17709/75406/66046/230075/17711/17719/69487/17708/66142/66694/66218/66108/12868/67264/66916/227197/66445/12858/12861/68033/68197/22272/70207/78330/54405"
"R-MMU-163200","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",114,-0.624882587113561,-2.50230211712489,1e-10,1e-10,2.95087719298246e-08,4044,"tags=74%, list=26%, signal=55%","20930/210582/104130/11949/66495/17718/68349/68198/68493/67126/67184/66379/226646/110842/76916/100042503/66043/17716/68375/12857/11957/407785/57423/69702/11947/17992/225887/70316/17995/67273/72900/595136/66377/110323/17717/68472/68202/22273/66091/17991/68194/68342/11946/17722/26940/67003/17721/66272/17710/66152/17709/11958/75406/66046/230075/17706/17711/17719/69487/17708/11950/66142/66694/66218/17705/66108/12868/67264/66916/228033/227197/66445/11951/12858/12861/68033/68197/22272/70207/78330/212933/28080/54405/22229"
"R-MMU-1428517","The citric acid (TCA) cycle and respiratory electron transport",158,-0.599033734567458,-2.47311148920419,1e-10,1e-10,2.95087719298246e-08,4083,"tags=72%, list=26%, signal=53%","18293/14194/20930/210582/104130/11949/66495/20917/16832/14651/17718/68349/68198/68493/67126/67184/66379/226646/110842/76916/319518/100042503/66043/17716/68375/12857/67834/11957/15929/407785/67680/57423/69702/11947/217666/17992/225887/68636/70316/17995/67273/72900/595136/66377/110323/66925/109264/17717/68472/68202/22273/66091/17991/68194/68342/11946/17722/26940/67003/17721/56451/66272/17710/66152/17709/11958/75406/66046/66945/230075/17706/17711/17719/69487/17708/11950/66142/66694/66218/17705/66108/12868/67264/66916/228033/227197/13382/66445/11951/12858/12861/16828/11429/228026/18604/68033/68197/22272/18597/70207/78330/212933/28080/20181/382051/54405/27402/12974/68263/17436/235339/76187/22229"
"R-MMU-556833","Metabolism of lipids",487,-0.367025944936962,-1.7156414562558,3.21018473288182e-09,3.21018473288182e-09,7.10464568514109e-07,1923,"tags=27%, list=12%, signal=24%","228859/66853/228983/234729/240752/56690/235623/110446/235293/18711/170835/208715/12660/18618/93747/106529/66727/16331/74559/333433/11690/22234/14775/20775/19062/18010/111175/77116/17855/110821/20597/12908/54397/12091/14466/330450/13121/170461/19012/271970/56348/18708/272636/13167/72108/12896/68671/66350/14732/319554/15483/102632/15490/20181/13595/16592/71911/13360/30963/66234/13350/102247/14776/66065/14598/22337/319660/79554/23887/26458/13110/104709/170460/93732/55979/17850/18194/57357/245532/11886/171281/76574/103199/20787/68393/110196/192156/73166/78245/170459/217700/54325/105387/14933/170439/56473/212862/68603/110460/64291/78894/16987/50790/67041/78390/19013/14626/14245/108079/27413/66612/14667/74147/14555/68801/76267/104112/68262/192654/107476/13358/234515/19224/14104/271844/14081/100705/20249/12683/21835/14077"
"R-MMU-6799198","Complex I biogenesis",55,-0.680620652179196,-2.39966956845507,7.26592734570987e-09,7.26592734570987e-09,1.28645155741937e-06,4302,"tags=84%, list=28%, signal=61%","17993/66414/104130/66495/17718/68349/68198/68493/67184/226646/76916/100042503/17716/68375/407785/69702/225887/70316/17995/67273/72900/595136/66377/17717/68472/68202/66091/17991/68194/68342/17722/26940/17721/75406/66046/230075/17719/69487/66218/66108/67264/66916/227197/68197/78330/54405"
"R-MMU-446203","Asparagine N-linked glycosylation",232,-0.44704593103683,-1.94779525861928,1.20711208554275e-08,1.20711208554275e-08,1.78101976130079e-06,3482,"tags=47%, list=22%, signal=37%","17158/68097/66111/233824/66913/70349/217664/67091/67511/218811/97484/56174/12793/223774/317717/56389/107652/66682/18195/228998/140481/19703/59007/56418/68137/102580/238123/76308/24060/50907/102339/12847/381903/56494/67422/54342/77371/66248/56334/22122/17156/54128/23956/109785/19025/66397/69162/20441/50797/208624/59005/66050/66226/20442/235504/14583/54161/19324/217364/56041/230815/213827/18010/67231/57170/74498/12091/215474/20333/59042/53618/338366/76983/13478/103534/64138/110379/56447/218138/107338/69608/56358/74091/70361/50798/56737/67542/227697/110119/105785/193813/57357/72978/67311/94181/20446/12068/13032/192156/66251/20443/14595/56336/20447/14067/14275/89867/20440"
"R-MMU-1266738","Developmental Biology",330,0.423682836118687,1.73991496356571,4.65545935823285e-07,4.65545935823285e-07,5.8875809327426e-05,3612,"tags=38%, list=23%, signal=30%","16687/65254/406223/259277/14587/16666/12767/13508/18772/18481/13845/13848/16679/16416/109620/110310/17967/74127/57764/14586/215798/13841/18750/12517/16682/243743/235611/13640/20351/13641/12841/13643/16660/13506/53857/19041/13429/94179/67399/29857/17698/14182/20129/13642/13838/13836/17974/16402/16680/16668/19876/110596/73710/18846/16670/223917/13866/110351/214968/16669/16691/13846/13512/12824/14786/22153/14027/23939/17395/16399/22142/13385/23797/21413/22350/12567/21423/14360/56460/18645/13639/117606/386463/20602/58234/11496/13638/22151/20349/100126226/213469/22240/80297/54377/104099/19401/15516/11853/20563/71529/16667/12385/13636/67784/332131/70834/78753/12569/11488/20743/26417/11852/22323/11461/53972/14783/16480/21406/57810/13649/16665/13511/26415/20130/14388"
"R-MMU-191273","Cholesterol biosynthesis",26,-0.772276162380069,-2.31288588844393,5.48340443888676e-07,5.48340443888676e-07,6.06781991197863e-05,1724,"tags=69%, list=11%, signal=62%","235293/208715/20775/17855/13121/319554/15490/13595/13360/66234/18194/20787/110196/192156/73166/68603/110460/16987"
"R-MMU-5368287","Mitochondrial translation",85,-0.552222023670228,-2.09693218533591,1.53411375004826e-06,1.53411375004826e-06,0.00015089937588194,5370,"tags=71%, list=35%, signal=46%","75398/67871/102060/68537/27397/64656/66258/94062/216767/66223/57837/56284/218506/66121/118451/78523/27395/68565/68735/77721/79044/64655/57312/64658/107732/69956/50529/68572/94063/66077/66230/121022/64659/232536/99045/67270/18120/28028/69163/66448/67212/66973/67308/28030/27398/56280/69089/66047/66493/68611/24030/64660/66292/67681/94065/67840/320806/56282/68499/107733"
"R-MMU-71291","Metabolism of amino acids and derivatives",195,-0.418679214434557,-1.78848614776153,3.08525134205899e-06,3.08525134205899e-06,0.000251218162861046,2384,"tags=30%, list=15%, signal=26%","234724/76238/13180/78038/50880/66998/217593/107585/21823/79464/110446/13382/54375/243382/93747/67092/107869/227095/66948/212647/12041/56752/18597/104776/104816/235386/20768/68133/70503/20810/27402/13171/270076/209692/12036/56357/19193/27376/27053/20539/66885/18263/69051/30956/68263/192166/56454/214593/11898/209027/235339/14085/108682/14718/67432/13371/14711/99439/104174"
"R-MMU-5389840","Mitochondrial translation elongation",82,-0.553734564388655,-2.10434871115363,3.12155743388576e-06,3.12155743388576e-06,0.000251218162861046,5236,"tags=70%, list=34%, signal=46%","102060/68537/27397/64656/66258/94062/216767/66223/57837/56284/218506/66121/118451/78523/27395/68565/68735/77721/79044/64655/57312/64658/107732/69956/50529/68572/94063/66077/66230/121022/64659/232536/99045/67270/18120/28028/69163/66448/67212/66973/67308/28030/27398/56280/69089/66047/66493/68611/24030/64660/66292/67681/94065/67840/56282/68499/107733"
"R-MMU-5419276","Mitochondrial translation termination",84,-0.550394424618212,-2.0855398293247,4.11008958792902e-06,4.11008958792902e-06,0.00030320924065336,5370,"tags=70%, list=35%, signal=46%","75398/67871/102060/68537/27397/64656/66258/94062/216767/66223/57837/56284/218506/66121/118451/78523/27395/68565/68735/77721/79044/64655/57312/64658/107732/69956/50529/68572/94063/66077/66230/121022/64659/232536/99045/67270/18120/28028/69163/66448/67212/66973/67308/27398/56280/69089/66047/66493/68611/24030/64660/66292/67681/94065/67840/320806/56282/68499/107733"
"R-MMU-8978868","Fatty acid metabolism",137,-0.448180031873836,-1.8110780795977,9.29696592859103e-06,9.29696592859103e-06,0.000633097032060329,1622,"tags=31%, list=10%, signal=28%","93747/106529/74559/11690/14775/111175/110821/12908/54397/56348/13167/12896/102632/20181/30963/14776/14598/23887/26458/13110/93732/17850/171281/78245/217700/54325/170439/56473/50790/108079/74147/68801/76267/104112/107476/13358/19224/14104/14081/100705/20249/21835"
"R-MMU-948021","Transport to the Golgi and subsequent modification",157,-0.430867113665016,-1.7718069879121,2.04333228622956e-05,2.04333228622956e-05,0.00129206199452561,3482,"tags=45%, list=22%, signal=35%","17158/68097/66111/233824/66913/70349/217664/67091/67511/218811/97484/12793/317717/56389/66682/18195/228998/140481/56418/68137/238123/76308/50907/102339/12847/56494/77371/56334/17156/66397/69162/50797/59005/66050/66226/54161/19324/56041/230815/213827/67231/74498/215474/20333/59042/53618/338366/76983/103534/64138/110379/56447/107338/69608/56358/70361/67542/105785/193813/72978/12068/13032/66251/20443/14595/56336/14067/14275/89867/20440"
"R-MMU-425407","SLC-mediated transmembrane transport",170,-0.415412817178644,-1.73053756776184,2.36315746433697e-05,2.36315746433697e-05,0.00139467749298764,2156,"tags=30%, list=14%, signal=26%","331004/14664/238384/53896/229782/18174/20528/235504/20529/72621/68267/63959/215113/214663/83429/55963/20540/243328/227659/20537/98396/14977/13521/11815/106957/26569/110877/22232/114304/214111/56774/27376/19729/20539/20515/101488/11416/117591/208890/13723/50934/226999/76257/227394/20517/67547/55961/241612/20531/20512/110895"
"R-MMU-389661","Glyoxylate metabolism and glycine degradation",24,-0.740981087884937,-2.16735586184777,2.59448723660179e-05,2.59448723660179e-05,0.0014355024776198,1979,"tags=58%, list=13%, signal=51%","79464/13382/212647/18597/68133/70503/27402/13171/209692/68263/235339/67432/14711/104174"
